WRB_PHASES,WRB4,WRB2,FAO90,ROOT_DEPTH,PHASE1,PHASE2,ROOTS,IL,SWR,DRAINAGE,AWC,ADD_PROP,LAYER,TOPDEP,BOTDEP,COARSE,SAND,SILT,CLAY,TEXTURE_USDA,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND
GLdy,GLdy,GL,GLd,,,,5.0,1.0,4.0,VP,,0.0,D2,20,40,9,22,47,31,5.0,M,1.25,1.85,0.75599998,5.3000002,1.05,9,15,34,7,6,52,44,1,0.0,0.0,1
CMgl,CMgl,CM,CMg,,,,,,,P,,0.0,D7,150,200,4,33,41,26,9.0,M,1.64,1.79,0.36500001,6.1999998,0.62,7,14,54,21,19,81,0,4,0.0,14.4,1
CMca,CMca,CM,CMc,,,,1.0,1.0,2.0,MW,,3.0,D5,80,100,15,29,42,29,5.0,M,1.63,1.83,0.35799998,8.1000004,0.46000001,7,16,52,50,50,100,0,6,22.799999,5.0999999,0
GLmo,GLmo,GL,GLm,,,,,,1.0,P,,0.0,D7,150,200,6,44,33,23,9.0,M,1.64,1.76,0.30699998,7.5999999,0.38999999,10,9,42,25,24,99,0,2,16.700001,0.2,3
GLcc,GLcc,GL,GLk,1.0,,,1.0,1.0,2.0,VP,162.0,0.0,D1,0,20,8,36,30,34,5.0,M,1.34,1.89,0.75599998,8.0,0.63,8,19,44,43,35,97,0,3,20.5,0.2,1
GLdy,GLdy,GL,GLd,,,,3.0,3.0,2.0,VP,,2.0,D3,40,60,7,22,44,34,5.0,M,1.28,1.88,0.48299998,5.3000002,0.80000001,8,14,39,8,5,36,37,1,0.0,0.0,0
AR,AR,AR,ARh,,,,,,1.0,SE,,0.0,D2,20,40,6,87,9,4,12.0,C,1.51,1.2,0.29500002,6.1999998,0.27000001,10,4,44,3,3,70,0,6,0.0,0.1,0
GLar,GLar,GL,ARg,1.0,,,1.0,1.0,1.0,P,82.0,0.0,D1,0,20,7,87,8,5,12.0,C,1.4,1.28,0.53499997,5.8000002,0.46000001,12,5,40,4,3,65,6,6,0.0,0.1,0
AN,AN,AN,ANh,,,,,,,MW,,0.0,D7,150,200,33,56,33,11,11.0,M,0.93000001,1.52,1.382,5.9000001,0.99000001,14,16,98,7,4,27,29,1,0.0,0.0,0
PZrs,PZrs,PZ,PZf,,,,5.0,2.0,4.0,MW,,2.0,D5,80,100,25,72,23,5,11.0,C,1.71,1.26,0.30699998,5.5,0.28999999,13,5,57,4,3,48,20,2,0.0,0.0,0
CMeu,CMeu,CM,CMe,,,,2.0,2.0,,MW,,0.0,D4,60,80,27,48,37,15,9.0,M,1.58,1.62,0.26099998,6.6999998,0.46000001,10,11,78,10,9,87,0,2,0.0,1.6,1
RGdy,RGdy,RG,RGd,,,,,,,MW,,3.0,D6,100,150,44,60,26,14,11.0,M,1.6799999,1.6,0.12,5.3000002,0.43000001,7,4,40,10,7,45,40,4,0.0,2.5,0
HSsa,HSsa,HS,HSs,,,,,,1.0,VP,,0.0,D3,40,60,3,22,51,27,7.0,M,0.5,1.8,35.264,5.1999998,15.76,19,92,83,66,84,76,2,2,0.0,0.0,1
HS,HS,HS,HS,1.0,19.0,0.0,,,0.0,VP,214.0,0.0,D1,0,20,11,24,36,40,3.0,F,0.54000002,1.9299999,35.857002,4.8000002,15.78,21,87,48,52,50,56,2,2,0.0,0.0,1
RGdy,RGdy,RG,RGd,,,,3.0,1.0,2.0,MW,,0.0,D3,40,60,19,59,29,12,11.0,M,1.59,1.55,0.419,5.0999999,0.67000002,7,5,37,4,2,44,33,1,0.0,3.0,1
HSfi,HSfi,HS,HSf,,,,3.0,3.0,2.0,VP,,0.0,D5,80,100,16,42,28,30,5.0,M,0.17,1.85,48.872002,4.4000001,11.98,21,78,76,40,41,65,12,2,0.0,0.0,2
STlv,STlv,ST,LVj,,,,2.0,1.0,3.0,P,,0.0,D3,40,60,5,27,41,32,5.0,M,1.71,1.86,0.33699998,6.5,0.51999998,8,17,50,23,20,87,0,1,0.0,0.1,1
CMvr,CMvr,CM,CMv,,,,1.0,3.0,,MW,,0.0,D3,40,60,5,23,28,49,3.0,F,1.5,2.0,0.58600003,7.3000002,0.58999997,10,33,63,33,32,93,0,4,6.9000001,1.6,1
GLeukk,GLeu,GL,GLe,1.0,1.0,,1.0,1.0,3.0,VP,168.0,0.0,D1,0,20,8,24,46,30,5.0,M,1.22,1.84,1.8889999,6.3000002,1.84,10,18,41,18,17,83,0,4,0.0,0.0,1
PZal,PZal,PZ,PZh,2.0,,,4.0,3.0,,MW,76.0,0.0,D1,0,20,14,54,40,6,11.0,M,1.08,1.3099999,7.217,4.6999998,4.0,18,25,74,10,7,27,33,1,0.0,0.0,0
CRsd,CRsd,CR,PZi,,,,,,,MW,,0.0,D4,60,80,36,65,30,5,11.0,C,1.39,1.26,0.62300003,5.5999999,0.43000001,20,8,87,3,1,21,60,1,0.0,0.0,0
GLdy,GLdy,GL,GLd,2.0,,,2.0,3.0,2.0,P,103.0,0.0,D1,0,20,2,24,51,25,7.0,M,1.0,1.77,4.177,5.1999998,3.46,13,24,20,13,9,38,39,1,0.0,0.0,1
VRcckk,VRcc,VR,VRk,,1.0,0.0,,,0.0,P,,3.0,D5,80,100,2,14,33,53,3.0,F,1.85,2.02,0.49699998,8.1000004,0.50999999,10,37,66,65,65,100,0,7,16.799999,0.60000002,2
GLdy,GLdy,GL,GLd,,,,,,,VP,,3.0,D2,20,40,9,25,25,50,3.0,F,1.27,2.01,0.634,5.6999998,0.82999998,10,27,42,7,14,44,44,1,0.0,0.0,1
PHgz,PHgz,PH,GRh,,,,1.0,1.0,,MW,,0.0,D6,100,150,1,18,54,28,4.0,M,1.5,1.8099999,0.255,6.9000001,0.31999999,10,20,65,-8,-8,55,0,1,0.1,0.1,1
VRha,VRha,VR,VRe,,,,,,,P,,0.0,D7,150,200,2,13,35,52,3.0,F,1.8,2.01,0.27899998,7.9000001,0.63,6,35,64,58,57,100,0,10,6.8000002,2.9000001,3
CMeu,CMeu,CM,CMe,,,,,,1.0,MW,,0.0,D7,150,200,21,39,39,22,9.0,M,1.62,1.74,0.252,6.9000001,0.47,6,14,53,21,21,97,0,4,3.7,3.7,1
PZal,PZal,PZ,PZh,,,,3.0,1.0,3.0,MW,,0.0,D4,60,80,25,64,31,5,11.0,M,1.64,1.26,0.43000001,5.4000001,0.50999999,13,5,60,4,3,40,30,2,0.0,0.0,0
PZet,PZet,PZ,PZb,,,,1.0,2.0,3.0,MW,,0.0,D7,150,200,26,69,25,6,11.0,C,1.8200001,1.3200001,0.108,5.6999998,0.28999999,8,4,55,4,4,66,10,1,0.0,0.0,0
LXha,LXha,LX,LXh,,,,,,,MW,,0.0,D4,60,80,11,49,11,40,8.0,F,1.47,1.95,0.35100001,5.9000001,0.47999999,8,7,14,5,5,74,7,2,0.0,0.0,0
RG,RG,RG,RG,,,,,,,MW,,0.0,D4,60,80,21,68,19,13,11.0,C,1.5,1.58,0.29100001,6.3000002,0.37,10,8,48,2,2,54,0,3,0.0,3.0,2
KSha,KSha,KS,KSh,1.0,,,,,,MW,174.0,3.0,D1,0,20,6,43,37,20,9.0,M,1.47,1.71,1.181,7.4000001,1.25,10,18,72,29,28,100,0,2,3.5999999,0.1,1
GLccqs,GLcc,GL,GLk,,19.0,11.0,,,0.0,VP,,0.0,D6,100,150,12,37,24,39,5.0,F,1.67,1.9299999,0.23900001,8.3000002,0.38999999,8,12,27,32,32,100,0,10,26.6,0.2,3
FRro,FRro,FR,FRr,1.0,,,,,,MW,160.0,3.0,D1,0,20,15,37,17,46,3.0,F,1.34,1.99,1.6389999,5.5,1.26,13,9,9,5,5,45,17,1,0.0,0.0,0
PLeu,PLeu,PL,PLe,,,,,,,P,,3.0,D6,100,150,14,36,26,38,5.0,F,1.45,1.92,0.24700001,7.0999999,0.25999999,8,19,40,20,19,94,0,12,1.7,0.1,2
PZrs,PZrs,PZ,PZf,,,,,,,MW,,0.0,D5,80,100,25,72,23,5,11.0,C,1.6799999,1.26,0.30699998,5.3000002,0.41999999,16,6,57,4,3,42,18,2,0.0,0.0,0
LVcr,LVcr,LV,LVx,,,,1.0,3.0,3.0,MW,,0.0,D6,100,150,19,35,26,39,5.0,F,1.54,1.9299999,0.20799999,6.4000001,0.52999997,6,15,50,19,17,80,0,2,0.0,2.7,1
SCfv,SCfv,SC,FLs,,,,,,,MW,,0.0,D3,40,60,8,41,34,25,9.0,M,1.39,1.79,0.39399999,8.3999996,0.44,9,12,51,29,29,99,0,43,19.5,1.3,1
LPrz,LPrz,LP,LPk,,,,5.0,2.0,1.0,I,,0.0,D2,20,40,30,37,39,24,9.0,M,1.39,1.77,1.681,7.5,1.58,10,29,65,24,24,95,0,3,37.900002,0.5,3
CHlv,CHlv,CH,CHl,,,,1.0,1.0,,MW,,0.0,D3,40,60,7,26,42,32,5.0,M,1.55,1.86,0.88599998,7.0999999,1.03,9,23,65,30,29,96,0,2,11.7,1.1,1
SNmo,SNmo,SN,SNm,,,,,,,MW,,0.0,D5,80,100,18,35,36,29,5.0,M,1.45,1.83,0.266,8.5,0.37,9,20,88,50,50,100,0,42,17.0,1.6,7
ARbr,ARbr,AR,ARb,,,,,,,SE,,0.0,D3,40,60,4,86,7,7,12.0,C,1.53,1.39,0.28399998,6.5,0.25,10,3,46,3,2,70,0,2,0.0,0.30000001,0
PTlx,LXfr,LX,LXf,2.0,6.0,,,,,MW,80.0,0.0,D1,0,20,20,56,22,22,10.0,M,1.54,1.75,1.3279999,6.0999999,1.1,12,7,21,8,8,81,0,2,0.0,0.0,0
PZgl,PZgl,PZ,PZg,,,,1.0,1.0,2.0,P,,2.0,D7,150,200,17,71,23,6,11.0,C,1.76,1.33,0.16599999,5.5999999,0.17,18,5,53,3,4,65,10,1,0.0,0.0,0
CRha,CRha,CR,RGi,,,,1.0,1.0,1.0,MW,,0.0,D2,20,40,39,68,21,11,11.0,C,1.5,1.53,0.132,6.8000002,0.75,11,16,61,26,24,76,0,5,8.5,2.9000001,1
VRccqs,VRcc,VR,VRk,,11.0,0.0,,,0.0,P,,3.0,D3,40,60,4,16,27,57,3.0,F,1.7,2.05,0.616,8.1000004,0.69,10,40,68,56,58,99,0,9,9.5,0.40000001,1
PZal,PZal,PZ,PZh,,,,,,1.0,SE,,0.0,D7,150,200,29,80,13,7,12.0,C,1.83,1.38,0.391,5.1999998,0.17,23,5,55,4,4,67,10,2,0.0,0.0,0
RGeu,RGeu,RG,RGe,,,,1.0,1.0,,MW,,0.0,D2,20,40,29,51,32,17,9.0,M,1.58,1.66,0.56400001,7.3000002,0.80000001,10,13,69,25,23,98,0,4,2.2,2.9000001,1
SNkk,SNha,SN,SNh,1.0,1.0,0.0,,,,MW,153.0,0.0,D1,0,20,6,49,30,21,9.0,M,1.58,1.73,0.56300002,8.3000002,0.58999997,9,17,78,31,31,99,0,27,6.3000002,0.1,1
CMdy,CMdy,CM,CMd,,,,1.0,1.0,1.0,MW,,0.0,D6,100,150,27,57,21,22,10.0,M,1.59,1.75,0.24700001,5.1999998,0.43000001,8,8,51,5,4,48,42,2,0.0,2.4000001,1
CRra ,CRra ,CR,GLi,,,,1.0,1.0,4.0,P,,0.0,D7,150,200,34,46,36,18,9.0,M,1.75,1.6799999,0.27599999,6.9000001,0.38999999,10,6,36,16,16,81,0,3,17.1,0.1,1
PZrs,PZrs,PZ,PZf,,,,5.0,1.0,1.0,MW,,2.0,D3,40,60,43,72,21,7,11.0,C,1.4400001,1.38,0.66900003,5.5,0.79000002,16,8,73,3,2,27,44,2,0.0,0.0,0
LPli,LPli,LP,LPq,4.0,,,2.0,2.0,4.0,I,12.0,0.0,D1,0,20,22,51,29,20,9.0,M,1.37,1.72,3.1629999,6.6999998,1.5,12,16,35,20,10,64,0,3,0.0,0.30000001,1
PZal,PZal,PZ,PZh,,,,3.0,3.0,,MW,,0.0,D5,80,100,25,65,29,6,11.0,C,1.73,1.3200001,0.20199999,5.5,0.34,9,5,57,4,4,52,16,2,0.0,0.0,0
CMeu,CMeu,CM,CMe,,,,4.0,4.0,1.0,MW,,0.0,D6,100,150,29,51,35,14,9.0,M,1.64,1.6,0.211,6.9000001,0.41,7,10,70,13,10,91,0,2,7.4000001,2.5999999,1
GL,GL,GL,GL,,,,,,,VP,,3.0,D6,100,150,17,31,29,40,3.0,F,1.33,1.9400001,0.32300001,5.9000001,0.38,10,19,45,18,17,74,10,3,0.0,0.0,0
CMca,CMca,CM,CMc,,,,1.0,1.0,1.0,MW,,0.0,D6,100,150,17,26,43,31,5.0,M,1.65,1.85,0.18200001,8.1000004,0.46000001,6,17,51,52,52,100,0,14,20.799999,5.9000001,1
SCfv,SCfv,SC,FLs,,0.0,0.0,,,0.0,MW,,0.0,D7,150,200,21,44,34,22,9.0,M,1.52,1.75,0.30500001,8.1999998,0.41,9,14,67,42,42,100,0,21,11.6,1.2,3
CHlv,CHlv,CH,CHl,1.0,,,1.0,1.0,1.0,MW,164.0,0.0,D1,0,20,6,26,48,26,9.0,M,1.36,1.79,2.7909999,6.5999999,2.6099999,11,24,59,23,23,92,0,1,0.0,0.80000001,1
GLeu,GLeu,GL,GLe,,,,1.0,1.0,3.0,VP,,0.0,D5,80,100,10,35,35,30,5.0,M,1.63,1.84,0.47600001,7.0999999,0.61000001,7,12,37,19,16,93,0,1,7.8000002,0.1,2
LVvr,LVvr,LV,LVv,1.0,,,1.0,1.0,1.0,MW,194.0,3.0,D1,0,20,5,20,35,45,3.0,F,1.55,1.97,1.602,6.6999998,1.1799999,11,25,48,22,21,91,0,1,0.0,0.1,0
ACfr,ACfr,AC,ACf,,0.0,0.0,,,0.0,MW,,0.0,D6,100,150,22,37,20,43,3.0,F,1.4,1.97,0.28599998,5.0999999,0.40000001,8,6,14,4,2,28,58,3,0.0,0.0,0
CMgl,CMgl,CM,CMg,,,,1.0,1.0,,P,,0.0,D6,100,150,8,33,40,27,9.0,M,1.61,1.8099999,0.40100002,6.3000002,0.62,7,15,49,18,17,72,0,4,0.0,5.0999999,0
LVgl,LVgl,LV,LVg,,,,2.0,3.0,3.0,P,,0.0,D7,150,200,4,31,43,26,9.0,M,1.74,1.79,0.089999996,6.5,0.33000001,6,18,66,18,18,98,0,9,0.0,1.1,3
STlv,STlv,ST,LVj,3.0,,,3.0,1.0,2.0,P,43.0,0.0,D1,0,20,9,25,53,22,7.0,M,1.46,1.73,1.801,5.8000002,1.5700001,11,15,51,14,12,65,26,3,0.0,0.1,0
FLeu,FLeu,FL,FLe,,,,1.0,1.0,,MW,,0.0,D4,60,80,2,37,42,21,9.0,M,1.39,1.72,0.39000002,7.3000002,0.55000001,8,16,73,20,20,89,0,2,4.8000002,1.0,4
AR,AR,AR,AR,1.0,,,,,,SE,82.0,0.0,D1,0,20,5,89,7,4,12.0,C,1.45,1.2,0.68099999,5.9000001,0.54000002,15,4,33,3,3,72,6,2,0.0,0.1,0
PHha,PHha,PH,PHh,,,,,,,MW,,3.0,D5,80,100,21,39,34,27,9.0,M,1.38,1.8099999,0.53400004,6.9000001,0.67000002,8,22,62,18,17,89,0,3,8.5,0.1,0
PZgl,PZgl,PZ,PZg,1.0,,,1.0,1.0,,P,130.0,0.0,D1,0,20,7,66,30,4,11.0,C,1.15,1.1799999,7.3569999,4.5999999,4.3400002,17,20,82,9,4,23,50,1,0.0,0.0,0
GLmo,GLmo,GL,GLm,,,,1.0,1.0,2.0,VP,,0.0,D4,60,80,6,26,42,32,5.0,M,1.4400001,1.86,0.55300003,7.1999998,0.58999997,10,23,55,26,25,87,0,5,13.3,0.1,0
HSfi,HSfi,HS,HSf,1.0,,,,,,VP,209.0,0.0,D1,0,20,11,27,38,35,5.0,F,0.14,1.89,42.523003,4.5,14.72,25,86,48,37,41,54,2,2,0.0,0.0,0
UMac,UMac,UM,ACu,,,,,,,MW,,3.0,D7,150,200,29,28,20,52,3.0,F,1.4400001,2.02,0.546,5.0,0.50999999,12,8,13,5,2,20,28,1,0.0,0.0,0
LPli,LPli,LP,LPq,4.0,,,3.0,1.0,,I,12.0,0.0,D1,0,20,22,51,29,20,9.0,M,1.37,1.72,3.1629999,6.6999998,1.5,12,16,35,20,10,64,0,3,0.0,0.30000001,1
ALha,ALha,AL,ALh,1.0,0.0,0.0,,,0.0,MW,179.0,0.0,D1,0,20,3,51,25,24,10.0,M,1.3099999,1.78,1.635,5.3000002,1.35,12,13,34,8,4,45,51,2,0.0,0.1,0
STlv,STlv,ST,LVj,,,,,,3.0,P,,0.0,D6,100,150,6,34,39,27,9.0,M,1.8,1.8099999,0.204,7.4000001,0.43000001,6,11,41,30,27,98,0,2,19.700001,0.60000002,1
CMgl,CMgl,CM,CMg,,,,1.0,2.0,,P,,0.0,D3,40,60,13,35,44,21,9.0,M,1.63,1.72,0.597,6.3000002,0.79000002,8,11,49,11,10,75,0,2,0.0,1.6,1
PLeu,PLeu,PL,PLe,,,,1.0,1.0,4.0,P,,0.0,D4,60,80,4,19,43,38,4.0,F,1.61,1.91,0.44099998,5.4000001,0.41,8,20,47,15,15,82,11,2,0.0,0.0,0
ARbr,ARbr,AR,ARb,,,,1.0,1.0,1.0,SE,,0.0,D7,150,200,29,95,2,3,12.0,C,1.66,1.11,0.068000004,6.0999999,0.1,9,3,56,2,2,73,0,5,0.0,0.0,0
SNha,SNha,SN,SNh,,,,1.0,1.0,3.0,MW,,0.0,D4,60,80,7,46,28,26,9.0,M,1.59,1.8,0.23499998,8.8000002,0.34,6,19,83,51,51,100,0,60,8.8000002,2.2,6
RGdy,RGdy,RG,RGd,,,,2.0,2.0,3.0,MW,,0.0,D7,150,200,24,39,38,23,9.0,M,1.83,1.76,0.801,6.3000002,0.62,11,13,48,15,14,96,0,5,0.0,2.3,1
CHcc,CHcc,CH,CHk,,,,1.0,4.0,3.0,MW,,0.0,D3,40,60,11,28,43,29,5.0,M,1.4299999,1.83,1.0189999,7.9000001,1.05,9,21,64,35,35,100,0,2,16.0,1.1,1
RTkkdy,RTdy,RT,PDd,1.0,1.0,,1.0,1.0,3.0,MW,169.0,0.0,D1,0,20,5,37,52,11,7.0,M,1.39,1.51,2.0540001,5.0999999,1.83,12,13,45,8,6,52,25,1,0.0,0.0,0
CRra ,CRra ,CR,GLi,3.0,,,5.0,1.0,1.0,P,45.0,0.0,D1,0,20,3,30,56,14,7.0,M,0.83999997,1.58,11.342,5.4000001,8.1499996,19,47,49,23,19,91,11,2,0.0,0.0,1
HSfi,HSfi,HS,HSf,,,,4.0,1.0,1.0,VP,,0.0,D4,60,80,24,33,42,25,9.0,M,0.13,1.78,49.618999,4.6999998,11.84,27,92,68,64,53,66,5,1,0.0,0.0,2
HSfi,HSfi,HS,HSf,,,,,,2.0,VP,,0.0,D3,40,60,13,29,37,34,5.0,M,0.31999999,1.88,36.329002,4.3000002,10.57,33,74,81,54,38,52,2,1,0.0,0.0,1
HSfi,HSfi,HS,HSf,,,,5.0,1.0,1.0,VP,,2.0,D5,80,100,16,42,28,30,5.0,M,0.17,1.85,48.872002,4.4000001,11.98,21,78,76,40,41,65,12,2,0.0,0.0,2
LVvr,LVvr,LV,LVv,,,,3.0,1.0,1.0,MW,,0.0,D7,150,200,22,9,45,46,2.0,F,1.72,1.97,0.26500002,7.0999999,0.37,7,26,78,33,31,91,0,10,6.5,1.1,2
CRha,CRha,CR,RGi,,,,3.0,3.0,1.0,MW,,2.0,D5,80,100,29,36,45,19,9.0,M,1.45,1.6900001,1.2149999,7.0999999,0.83999997,10,10,70,16,15,95,0,8,10.4,2.3,1
FLeu,FLeu,FL,FLe,,0.0,0.0,,,0.0,MW,,0.0,D4,60,80,4,55,27,18,11.0,M,1.48,1.6900001,0.32699999,7.8000002,0.36000001,8,13,69,25,23,98,0,6,2.4000001,1.0,2
PTfl,PTfl,PT,FRx,2.0,6.0,0.0,,,0.0,MW,101.0,0.0,D1,0,20,2,53,12,35,8.0,F,1.25,1.91,1.429,4.5,1.14,13,7,8,3,1,15,21,1,0.0,0.0,0
FRxakk,FRxa,FR,FRx,1.0,1.0,0.0,,,,MW,157.0,0.0,D1,0,20,2,54,12,34,10.0,M,1.25,1.9,1.3989999,4.5,1.09,13,7,8,3,1,16,21,1,0.0,0.0,0
HScr,CRhi,CR,HSi,,,,5.0,1.0,4.0,VP,,2.0,D4,60,80,28,41,46,13,9.0,M,0.20999999,1.5700001,20.561001,4.9000001,10.89,19,50,33,15,29,45,5,2,0.0,0.0,1
NT,NT,NT,NTh,1.0,,,,,,MW,121.0,0.0,D1,0,20,10,80,8,12,11.0,C,1.34,1.5700001,0.73800004,6.5,1.48,11,10,22,8,7,60,0,2,0.0,0.1,1
PZrs,PZrs,PZ,PZf,,,,3.0,1.0,,SE,,0.0,D7,150,200,28,85,10,5,12.0,C,1.66,1.27,0.354,5.0,0.16,22,4,48,4,4,62,10,3,0.0,0.0,0
VRha,VRha,VR,VRe,,,,1.0,4.0,3.0,P,,0.0,D5,80,100,2,10,35,55,3.0,F,1.6799999,2.03,0.77100003,7.8000002,0.94,8,39,64,67,67,100,0,12,4.1999998,1.2,1
PZal,PZal,PZ,PZh,,,,3.0,3.0,0.0,MW,,0.0,D7,150,200,26,68,26,6,11.0,C,1.85,1.3200001,0.098999999,5.6999998,0.31999999,7,3,56,4,4,68,10,1,0.0,0.0,0
PZrs,PZrs,PZ,PZf,,,,3.0,3.0,4.0,MW,,0.0,D5,80,100,27,72,23,5,11.0,C,1.58,1.26,0.30699998,5.0,0.56999999,22,9,55,2,1,21,18,2,0.0,0.0,0
UMcm,UMcm,UM,CMu,,,,2.0,2.0,,MW,,0.0,D7,150,200,48,56,35,9,11.0,M,1.37,1.45,0.28200001,6.4000001,0.51999998,8,7,89,11,11,79,0,1,0.0,5.5999999,1
HSfi,HSfi,HS,HSf,,,,3.0,1.0,1.0,VP,,0.0,D7,150,200,21,57,28,15,11.0,M,0.20999999,1.63,36.980999,4.5,11.53,27,48,65,43,28,98,1,39,0.0,0.0,0
CMskeu,CMeu,CM,CMe,1.0,20.0,0.0,,,0.0,MW,155.0,0.0,D1,0,20,11,40,31,29,5.0,M,1.35,1.84,1.675,6.4000001,1.41,11,22,62,21,20,84,0,2,0.0,1.6,2
CMca,CMca,CM,CMc,3.0,,,3.0,1.0,1.0,MW,44.0,0.0,D1,0,20,4,43,37,20,9.0,M,1.46,1.71,0.727,8.1999998,1.01,9,16,72,36,36,100,0,3,8.3999996,2.2,1
FLdy,FLdy,FL,FLd,1.0,,,1.0,0.0,4.0,MW,143.0,0.0,D1,0,20,10,40,46,14,9.0,M,1.41,1.59,1.355,4.9000001,1.26,10,7,23,6,4,59,11,2,0.0,0.60000002,2
LVha,LVha,LV,LVh,,,,1.0,3.0,2.0,MW,,3.0,D5,80,100,17,37,38,25,9.0,M,1.6799999,1.78,0.20999999,6.3000002,0.44999999,7,14,53,18,17,84,0,2,0.0,3.3,1
LPkkeu,LPeu,LP,LPe,3.0,1.0,0.0,,,,I,29.0,0.0,D1,0,20,21,61,23,16,11.0,M,1.3200001,1.65,0.588,7.6999998,0.94999999,9,13,59,27,26,91,0,1,4.5,0.30000001,1
HSfi,HSfi,HS,HSf,,,,1.0,1.0,2.0,VP,,0.0,D4,60,80,19,31,35,34,5.0,M,0.13,1.88,45.146,4.5999999,11.38,29,79,68,58,36,50,5,1,0.0,0.0,1
CMeu,CMeu,CM,CMe,,,,1.0,3.0,2.0,MW,,0.0,D3,40,60,21,43,35,22,9.0,M,1.5,1.74,0.48100001,6.8000002,0.57999998,9,15,73,18,18,86,0,3,2.5,2.4000001,1
FLeu,FLeu,FL,FLe,,,,,,,I,,0.0,D5,80,100,14,43,27,30,5.0,M,1.46,1.85,0.361,6.5999999,0.34,10,16,59,15,13,88,0,5,0.0,0.89999998,2
CHha,CHha,CH,CHh,1.0,,,,,,MW,139.0,0.0,D1,0,20,15,33,44,23,9.0,M,1.29,1.75,3.2279999,6.5999999,2.6300001,12,26,65,26,26,93,0,1,0.0,0.80000001,1
CMgl,CMgl,CM,CMg,,,,1.0,1.0,2.0,P,,0.0,D4,60,80,16,33,38,29,5.0,M,1.59,1.83,0.42199999,6.4000001,0.63,8,13,44,15,14,76,0,2,0.0,1.6,0
GLmo,GLmo,GL,GLm,,,,1.0,3.0,4.0,P,,0.0,D5,80,100,4,40,36,24,9.0,M,1.51,1.77,0.391,7.5,0.74000001,10,14,56,21,20,99,0,2,14.9,0.2,3
CMca,CMca,CM,CMc,,,,2.0,1.0,1.0,MW,,0.0,D7,150,200,27,29,40,31,5.0,M,1.62,1.85,0.10700001,8.1999998,0.44999999,6,16,57,58,58,100,0,20,16.700001,12.5,4
STrt,STrt,ST,PDj,,,,,,,P,,0.0,D3,40,60,1,19,63,18,7.0,M,1.51,1.66,0.44099998,4.6999998,0.49000001,7,11,47,8,5,51,36,4,0.0,0.0,0
CMdy,CMdy,CM,CMd,,,,1.0,2.0,1.0,MW,,0.0,D4,60,80,26,55,36,9,11.0,M,1.6,1.45,0.25400001,5.5,0.44999999,11,6,52,4,4,51,32,2,0.0,2.7,0
CRra ,CRra ,CR,GLi,3.0,,,4.0,4.0,1.0,P,42.0,2.0,D1,0,20,13,44,38,18,9.0,M,0.86000001,1.6799999,6.5040002,6.5999999,6.8299999,14,36,46,27,33,89,0,1,0.0,0.1,1
VRha,VRha,VR,VRe,,,,1.0,1.0,1.0,P,,3.0,D6,100,150,3,11,35,54,3.0,F,1.6799999,2.02,0.551,7.9000001,0.72000003,7,39,66,64,64,100,0,14,4.6999998,1.7,2
GLcc,GLcc,GL,GLk,,,,1.0,0.0,2.0,VP,,0.0,D7,150,200,11,26,41,33,5.0,M,1.77,1.87,0.27599999,8.1999998,0.38999999,10,6,36,16,16,81,0,3,17.1,0.2,3
STlv,STlv,ST,LVj,,,,1.0,2.0,4.0,P,,0.0,D2,20,40,4,26,46,28,5.0,M,1.63,1.8099999,0.64099997,6.0999999,0.80000001,8,17,51,18,15,78,0,2,0.0,0.1,1
CMkkeu,CMeu,CM,CMe,3.0,1.0,,3.0,1.0,1.0,MW,40.0,0.0,D1,0,20,13,40,40,20,9.0,M,1.41,1.71,1.562,6.4000001,1.41,11,16,54,15,14,82,0,2,0.0,1.6,2
NT,NT,NT,NTh,,,,,,,MW,,0.0,D3,40,60,17,69,8,23,10.0,M,1.37,1.78,0.486,6.5,0.61000001,9,18,18,6,5,56,0,3,0.0,0.0,1
CRha,CRha,CR,RGi,,,,,,,MW,,0.0,D6,100,150,20,24,58,18,7.0,M,1.4,1.66,1.374,6.9000001,0.95999998,17,14,51,18,18,77,0,3,5.5,2.5,1
CMeu,CMeu,CM,CMe,,,,,,,MW,,,D3,40,60,19,42,37,21,9.0,M,1.52,1.73,0.51800001,6.6999998,0.68000001,8,14,60,16,14,83,0,3,0.0,2.5999999,0
CMgl,CMgl,CM,CMg,2.0,,,1.0,3.0,2.0,P,103.0,0.0,D1,0,20,6,25,46,29,5.0,M,1.36,1.8200001,2.2160001,5.8000002,2.2,11,21,38,18,15,61,25,1,0.0,1.6,1
LVha,LVha,LV,LVh,,,,,,,MW,,0.0,D3,40,60,15,32,41,27,9.0,M,1.63,1.8099999,0.35600001,6.0999999,0.56,7,15,53,16,14,80,0,1,0.0,0.1,1
CMdy,CMdy,CM,CMd,,,,3.0,1.0,1.0,MW,,3.0,D4,60,80,27,46,34,20,9.0,M,1.46,1.71,0.52499998,5.3000002,0.58999997,9,10,48,6,4,35,43,2,0.0,2.8,0
